Code_Codice,UIC,Bahnhof_Gare_Stazione,Kt_Ct_Cantone,ISB_GI,Jahr_Annee_Anno,DTV_TJM_TGM,DWV_TMJO_TFM,DNWV_TMJNO_TMGNL,EVU_EF_ITF,Geopos
ALT,8506319.0,Altstätten SG,SG,SBB,2024,2700.0,3100.0,1900.0,"SBB, SOB, Thurbo","47.374234807062635, 9.556519883564428"
ALTD,8503211.0,Altendorf,SZ,SBB,2024,760.0,860.0,530.0,"SBB, SOB","47.19396706593207, 8.822905848209773"
AND,8505165.0,Andermatt,UR,MGB,2022,2900.0,2800.0,3300.0,MGB,"46.636890087679205, 8.593280416936754"
BAA,8502206.0,Baar,ZG,SBB,2018,8900.0,10700.0,5000.0,SBB,"47.19536403756802, 8.523271537389258"
BAAL,8515993.0,Baar Lindenpark,ZG,SBB,2023,1200.0,1500.0,530.0,SBB,"47.18313669446829, 8.517058460139534"
BAV,8501113.0,Bavois,VD,SBB,2024,190.0,230.0,120.0,SBB,"46.68767991038704, 6.559334852363642"
BDFB,8508083.0,Burgdorf Buchmatt,BE,BLS,2022,160.0,210.0,70.0,BLS,"47.06545797083619, 7.608275974819251"
BF,8504139.0,Belfaux CFF,FR,SBB,2023,560.0,680.0,280.0,SBB,"46.81692461024266, 7.106230136105958"
BIB,8503284.0,Biberbrugg,SZ,SOB,2023,3000.0,3300.0,2500.0,SOB,"47.15637863864441, 8.72271471268393"
BIGG,8503290.0,Biberegg,SZ,SOB,2018,49.0,49.0,49.0,SOB,"47.09360992036572, 8.669443186299644"
BIM,8504419.0,Biel Mett,BE,SBB,2024,810.0,940.0,530.0,SBB,"47.144725283875026, 7.272487256323596"
BNBS,8504106.0,Bern Bümpliz Süd,BE,SBB,2018,3100.0,3800.0,1600.0,BLS,"46.93748747604274, 7.395237952496591"
BRU,8505007.0,Brunnen,SZ,SBB,2018,2800.0,3000.0,2300.0,SBB,"46.99917491314123, 8.610067661012486"
BRZW,8508329.0,Brienz West,BE,ZB,2024,180.0,170.0,210.0,Zentralbahn,"46.75731227768448, 8.020376643392195"
BSDH,8500136.0,Basel Dreispitz,BS,SBB,2022,1800.0,2000.0,1200.0,SBB,"47.53743606333004, 7.60959592011994"
BUC,8500034.0,Buckten,BL,SBB,2022,170.0,210.0,100.0,SBB,"47.408991047992814, 7.847800531020693"
BWA,8507072.0,Burgistein,BE,BLS,2022,460.0,510.0,350.0,BLS,"46.78943768491708, 7.5212267253146"
BX,8500144.0,Buix,JU,SBB,2022,80.0,90.0,60.0,SBB,"47.47933325623299, 7.029967263634954"
CG,8500125.0,Courgenay,JU,SBB,2024,760.0,840.0,570.0,SBB,"47.40522617645749, 7.124205043857654"
CHA,8501504.0,Chamoson-St-Pierre-de-Clages,VS,SBB,2024,330.0,370.0,230.0,RegionAlps,"46.188836380745485, 7.241099046925848"
CHHO,8516272.0,Genève-Champel,GE,SBB,2024,6100.0,7600.0,2700.0,SBB,"46.1921933443026, 6.153498724140746"
CHN,8504234.0,Chambrelien,NE,SBB,2022,560.0,650.0,340.0,"BLS, SBB","46.96710900772342, 6.812256765419986"
COG,8504305.0,Corgémont,BE,SBB,2023,400.0,490.0,200.0,SBB,"47.19339876795823, 7.1446614596703"
COL,8504317.0,Le Locle-Col-des-Roches,NE,SBB,2022,230.0,310.0,50.0,SBB,"47.04988555625367, 6.726070869351404"
COS,8501115.0,Cossonay-Penthalaz,VD,SBB,2023,3700.0,4100.0,2800.0,SBB,"46.6060100852867, 6.523689168142412"
GDBE,8501021.0,Genthod-Bellevue,GE,SBB,2023,1800.0,2200.0,880.0,SBB,"46.25673767556873, 6.153960792570101"
GEC,8504236.0,Les Geneveys-sur-Coffrane,NE,SBB,2024,830.0,970.0,500.0,"BLS, SBB, transN","47.01509638874259, 6.853217632174566"
HIK,8502027.0,Hitzkirch,LU,SBB,2023,920.0,1100.0,570.0,SBB,"47.22267273480355, 8.252001025629596"
