station,busiest_avg_per_year
Zürich HB,382783.3333333333
Bern,166691.6666666667
Basel SBB,92741.66666666667
Luzern,92166.66666666667
Winterthur,90250.0
Lausanne,89641.66666666666
Zürich Oerlikon,74891.66666666666
Olten,72166.66666666666
Genève,68116.66666666667
Zürich Stadelhofen,64883.333333333336
Zürich Flughafen,45691.666666666664
Zürich Hardbrücke,45641.666666666664
Biel/Bienne,43675.0
St. Gallen,40758.333333333336
Zug,37433.333333333336
Aarau,34491.666666666664
Zürich Altstetten,33533.333333333336
Thun,30166.666666666668
Baden,29591.666666666664
Chur,26108.333333333332
Neuchâtel,25641.666666666664
Lugano,24475.0
Fribourg/Freiburg,24225.0
Visp,23591.666666666668
Lenzburg,23400.0
Wetzikon,22733.333333333332
Wetzikon ZH,22566.666666666668
Rapperswil SG,22077.777777777777
Uster,22016.666666666668
Vevey,22008.333333333332
Stettbach,20975.0
Rapperswil,20500.0
Schaffhausen,20150.0
Renens VD,19791.666666666668
Brugg AG,19716.666666666664
Dietikon,18975.0
Brig,18958.333333333332
Morges,18550.0
Bellinzona,17666.666666666668
Arth-Goldau,17525.0
Spiez,16950.0
Yverdon-les-Bains,16800.0
Wil,16800.0
Montreux,16508.333333333336
Landquart,16508.333333333332
Wädenswil,16433.333333333336
Wil SG,16344.444444444445
Thalwil,16175.0
Nyon,15958.333333333334
Effretikon,15550.0
Liestal,15266.666666666666
Genève-Aéroport,14941.666666666666
Solothurn,14633.333333333334
Pfäffikon SZ,14558.333333333334
Burgdorf,14533.333333333334
Weinfelden,14166.666666666666
Rotkreuz,13583.333333333334
Interlaken Ost,13425.0
Bülach,13291.666666666666
Zürich Enge,12825.0
Sion,11933.333333333334
Sursee,11808.333333333332
Schlieren,11658.333333333334
Wallisellen,11475.0
Sargans,11400.0
Bern Wankdorf,11141.666666666668
Zürich Wiedikon,10925.0
Romanshorn,10616.666666666668
Rüti ZH,10300.0
Ziegelbrücke,10275.0
Langenthal,9916.666666666668
Frauenfeld,9541.666666666666
Lyss,9458.333333333332
Martigny,9200.0
Aigle,9108.333333333334
Schwerzenbach ZH,8883.333333333332
Zofingen,8791.666666666668
La Chaux-de-Fonds,8700.0
Locarno,8558.333333333332
Mendrisio,7999.999999999999
Rheinfelden,7950.0
Baar,7908.333333333334
Pratteln,7891.666666666667
Horgen,7608.333333333334
Uznach,7466.666666666667
Sissach,7358.333333333333
Dietlikon,7300.0
Meilen,7258.333333333334
Gossau SG,7233.333333333334
Genève-Eaux-Vives,7222.222222222223
Dübendorf,7166.666666666666
Delémont,7141.666666666667
Wattwil,6975.0
Kreuzlingen,6916.666666666666
Chiasso,6900.0
Konolfingen,6758.333333333334
Coppet,6666.666666666667
Affoltern am Albis,6491.666666666666
Sierre/Siders,6325.0
Oberglatt ZH,6322.222222222223
Oberglatt,6066.666666666667
Zermatt,6041.666666666667
Regensdorf-Watt,6033.333333333333
Turgi,5991.666666666667
Münsingen,5966.666666666666
Interlaken West,5916.666666666667
St-Maurice,5891.666666666666
Lancy-Bachet,5800.0
Stans,5766.666666666667
Glattbrugg,5700.0
Gland,5658.333333333333
Rorschach,5583.333333333333
Palézieux,5525.0
Cham,5400.0
Wohlen AG,5377.777777777778
Laufen,5225.0
Bern Europaplatz,5116.666666666666
Wohlen,5100.0
Giubiasco,5050.0
Pfäffikon ZH,5000.0
Payerne,4991.666666666666
Muttenz,4983.333333333334
Jona,4975.0
Bubikon,4958.333333333333
Emmenbrücke,4925.0
Zürich Wollishofen,4875.0
Stäfa,4866.666666666667
Belp,4850.0
Uzwil,4741.666666666667
Herisau,4741.666666666666
Küsnacht ZH,4725.0
Kloten,4708.333333333334
Oensingen,4666.666666666666
Buchs SG,4633.333333333334
Genève-Champel,4622.222222222223
Lancy-Pont-Rouge,4618.333333333333
Richterswil,4600.0
Zweisimmen,4583.333333333333
Romont FR,4566.666666666667
Langnau,4566.666666666667
Chêne-Bourg,4555.555555555556
Männedorf,4516.666666666667
Frick,4441.666666666667
Wettingen,4416.666666666666
Gelterkinden,4383.333333333333
St. Moritz,4358.333333333333
Grenchen Süd,4333.333333333334
Dornach-Arlesheim,4308.333333333333
Zürich Tiefenbrunnen,4275.0
Birmensdorf ZH,4275.0
Bassersdorf,4241.666666666667
Rümlang,4208.333333333334
Nänikon-Greifensee,4200.0
Uetikon,4141.666666666666
Langnau i.E.,4122.222222222222
Kerzers,4108.333333333333
Allaman,4066.6666666666665
Bussigny,4016.666666666667
Killwangen-Spreitenbach,3975.0
Rolle,3825.0
Prilly-Malley,3775.0
Kilchberg ZH,3744.444444444445
Zollikofen,3708.3333333333335
Einsiedeln,3641.6666666666665
Gümligen,3591.6666666666665
Oberwinterthur,3591.6666666666665
Herrliberg-Feldmeilen,3566.6666666666665
Zürich Affoltern,3558.3333333333335
Versoix,3541.6666666666665
St. Margrethen SG,3533.3333333333335
Heerbrugg,3491.6666666666665
Glanzenberg,3383.333333333333
Ostermundigen,3358.3333333333335
Frenkendorf-Füllinsdorf,3341.666666666667
Samedan,3333.3333333333335
Herzogenbuchsee,3300.0
Flawil,3300.0
Möhlin,3266.666666666667
Erlenbach ZH,3258.3333333333335
Cossonay-Penthalaz,3241.666666666667
Bonstetten-Wettswil,3241.666666666667
Villeneuve VD,3233.3333333333335
Bern Brünnen,3200.0
Pont-Céard,3191.666666666667
Emmenbrücke Gersag,3175.0
Koblenz,3141.6666666666665
Sarnen,3141.6666666666665
Münchenbuchsee,3066.6666666666665
Andermatt,3058.3333333333335
Düdingen,3058.333333333333
Meiringen,2983.333333333333
Moutier,2975.0
Klosters Platz,2911.1111111111113
Bern Brünnen Westside,2911.1111111111113
Amriswil,2891.6666666666665
Lachen SZ,2888.8888888888887
Lachen,2866.6666666666665
Kilchberg,2866.6666666666665
Wolhusen,2850.0
Bern Bümpliz Nord,2833.333333333333
Biberbrugg,2816.666666666667
Siebnen-Wangen,2816.666666666667
Porrentruy,2775.0
Bad Ragaz,2758.3333333333335
Stein-Säckingen,2758.333333333333
Brunnen,2750.0
Altstätten SG,2750.0
Fehraltorf,2741.6666666666665
Rüschlikon,2708.333333333333
Mellingen Heitersberg,2683.3333333333335
Murten/Morat,2683.333333333333
Dielsdorf,2650.0
Glarus,2650.0
Davos Platz,2591.666666666667
Bern Bümpliz Süd,2591.666666666667
Kriens Mattenhof,2575.0
Hergiswil,2566.6666666666665
Schwyz,2491.666666666667
St. Gallen St. Fiden,2483.3333333333335
Küssnacht am Rigi,2458.3333333333335
St. Margrethen,2433.3333333333335
Aarburg-Oftringen,2425.0
Malters,2425.0
Muri AG,2416.6666666666665
Buchs-Dällikon,2400.0
Hinwil,2400.0
Aesch BL,2388.888888888889
Klosters,2366.6666666666665
Göschenen,2358.3333333333335
Horw,2350.0
Frutigen,2350.0
Pully,2341.666666666667
Tenero,2325.0
Andelfingen,2325.0
Winterthur Seen,2316.6666666666665
Luzern Allmend/Messe,2311.1111111111113
Hasle-Rüegsau,2300.0
Le Locle,2291.6666666666665
Hergiswil NW,2288.8888888888887
Engelberg,2266.6666666666665
Romont,2266.6666666666665
Rorschach Stadt,2258.3333333333335
Zwingen,2225.0
Tirano,2225.0
Paradiso,2216.666666666667
La Tour-de-Peilz,2208.3333333333335
Kaiseraugst,2200.0
Urdorf,2191.6666666666665
Döttingen,2158.3333333333335
Altdorf UR,2133.3333333333335
Buchrain,2125.0
Ins,2125.0
Sempach-Neuenkirch,2108.3333333333335
Zürich Wipkingen,2091.6666666666665
Bex,2075.0
Sonceboz-Sombeval,2050.8333333333335
Leuk,2016.6666666666667
Hedingen,2016.6666666666667
Biasca,2016.6666666666665
Chavornay,2008.3333333333333
Opfikon,2000.0
Cadenazzo,1991.6666666666665
Horgen Oberdorf,1991.6666666666665
Brienz,1983.3333333333335
Pontresina,1975.0
Villeneuve,1933.3333333333333
Thusis,1925.0
Castione-Arbedo,1924.1666666666665
Monthey,1921.6666666666665
Aesch,1900.0
Ebikon,1900.0
Clarens,1891.6666666666665
Basel Dreispitz,1858.3333333333335
Illnau,1841.6666666666667
Stein am Rhein,1808.3333333333335
Niederhasli,1808.3333333333333
Kreuzlingen Hafen,1803.3333333333335
Urdorf Weihermatt,1800.0
Ilanz,1800.0
Satigny,1794.1666666666667
Disentis/Mustér,1791.6666666666667
Cully,1791.6666666666667
Arbon,1775.0
Niederwangen,1766.6666666666667
Mettmenstetten,1766.6666666666667
Rupperswil,1758.3333333333333
Gstaad,1750.0
Puidoux,1733.3333333333333
Schwarzenburg,1733.3333333333333
Arosa,1725.0
Schönenwerd SO,1723.3333333333333
Winterthur Grüze,1715.0
Walenstadt,1708.3333333333333
St-Imier,1700.8333333333335
Hochdorf,1691.6666666666667
Suhr,1691.6666666666665
Uerikon,1691.6666666666665
Willisau,1686.6666666666667
Eglisau,1650.0
Täsch,1615.0
Schwanden GL,1611.1111111111113
Luzern Allmend,1600.0
Busswil,1600.0
Marthalen,1591.6666666666667
Neuhausen,1591.6666666666665
Scuol-Tarasp,1591.6666666666665
Genève-Sécheron,1584.1666666666667
Rubigen,1583.3333333333335
Lamone-Cadempino,1574.1666666666665
Kempten,1557.5
Elgg,1550.0
Rheineck,1548.3333333333333
Embrach-Rorbas,1545.8333333333333
Schiers,1545.8333333333333
Davos Dorf,1533.3333333333333
Rafz,1525.0
Schüpfheim,1525.0
Dottikon-Dintikon,1520.8333333333335
Goldach,1516.6666666666667
Aadorf,1516.6666666666665
Grenchen Nord,1506.6666666666665
